2022-07-15 14:19:05,446 - utils - INFO - epoch: 2, step: 650, eta: 00:30:24, gen loss: 5.225157737731934, adv_loss: 0, dis loss: 0
2022-07-15 14:21:32,799 - utils - INFO - epoch: 2, step: 700, eta: 00:27:56, gen loss: 4.940452575683594, adv_loss: 0, dis loss: 0
2022-07-15 14:24:01,246 - utils - INFO - epoch: 2, step: 750, eta: 00:25:28, gen loss: 6.609044551849365, adv_loss: 0, dis loss: 0
2022-07-15 14:26:29,722 - utils - INFO - epoch: 2, step: 800, eta: 00:23:01, gen loss: 9.880158424377441, adv_loss: 0, dis loss: 0
2022-07-15 14:28:57,480 - utils - INFO - epoch: 2, step: 850, eta: 00:20:33, gen loss: 6.311603546142578, adv_loss: 0, dis loss: 0
2022-07-15 14:31:25,043 - utils - INFO - epoch: 2, step: 900, eta: 00:18:05, gen loss: 4.85463809967041, adv_loss: 0, dis loss: 0
2022-07-15 14:33:52,983 - utils - INFO - epoch: 2, step: 950, eta: 00:15:37, gen loss: 4.252084732055664, adv_loss: 0, dis loss: 0
2022-07-15 14:36:21,335 - utils - INFO - epoch: 2, step: 1000, eta: 00:13:09, gen loss: 4.7041730880737305, adv_loss: 0, dis loss: 0
2022-07-15 14:38:48,662 - utils - INFO - epoch: 2, step: 1050, eta: 00:10:41, gen loss: 4.51743221282959, adv_loss: 0, dis loss: 0
2022-07-15 14:41:15,903 - utils - INFO - epoch: 2, step: 1100, eta: 00:08:13, gen loss: 4.4708709716796875, adv_loss: 0, dis loss: 0
2022-07-15 14:43:43,431 - utils - INFO - epoch: 2, step: 1150, eta: 00:05:45, gen loss: 4.782962322235107, adv_loss: 0, dis loss: 0
2022-07-15 14:46:11,585 - utils - INFO - epoch: 2, step: 1200, eta: 00:03:18, gen loss: 4.921236991882324, adv_loss: 0, dis loss: 0
2022-07-15 14:48:39,198 - utils - INFO - epoch: 2, step: 1250, eta: 00:00:50, gen loss: 4.714653968811035, adv_loss: 0, dis loss: 0
2022-07-15 15:09:13,307 - utils - INFO - epoch: 2, loss: 5.8087849617004395, mae: 22.136098702885025, ssim: 0.8680124145219438, psnr: 23.50647878283307
2022-07-15 15:09:17,924 - utils - INFO - epoch: 3, step: 0, eta: 01:02:34, gen loss: 5.508729934692383, adv_loss: 0, dis loss: 0
2022-07-15 15:11:42,410 - utils - INFO - epoch: 3, step: 50, eta: 00:59:48, gen loss: 4.698665618896484, adv_loss: 0, dis loss: 0
2022-07-15 15:14:05,899 - utils - INFO - epoch: 3, step: 100, eta: 00:56:35, gen loss: 5.088247299194336, adv_loss: 0, dis loss: 0
2022-07-15 15:16:30,163 - utils - INFO - epoch: 3, step: 150, eta: 00:54:00, gen loss: 5.567105293273926, adv_loss: 0, dis loss: 0
2022-07-15 15:18:53,939 - utils - INFO - epoch: 3, step: 200, eta: 00:51:28, gen loss: 5.4404144287109375, adv_loss: 0, dis loss: 0
2022-07-15 15:21:18,953 - utils - INFO - epoch: 3, step: 250, eta: 00:49:05, gen loss: 4.855618476867676, adv_loss: 0, dis loss: 0
2022-07-15 15:23:45,230 - utils - INFO - epoch: 3, step: 300, eta: 00:46:45, gen loss: 6.487492561340332, adv_loss: 0, dis loss: 0
2022-07-15 15:26:13,840 - utils - INFO - epoch: 3, step: 350, eta: 00:44:29, gen loss: 4.765778064727783, adv_loss: 0, dis loss: 0
2022-07-15 15:28:43,080 - utils - INFO - epoch: 3, step: 400, eta: 00:42:11, gen loss: 4.589688301086426, adv_loss: 0, dis loss: 0
2022-07-15 15:31:12,150 - utils - INFO - epoch: 3, step: 450, eta: 00:39:51, gen loss: 4.335422515869141, adv_loss: 0, dis loss: 0
2022-07-15 15:33:40,839 - utils - INFO - epoch: 3, step: 500, eta: 00:37:28, gen loss: 4.323806285858154, adv_loss: 0, dis loss: 0
2022-07-15 15:36:09,843 - utils - INFO - epoch: 3, step: 550, eta: 00:35:05, gen loss: 4.12446403503418, adv_loss: 0, dis loss: 0
2022-07-15 15:38:38,741 - utils - INFO - epoch: 3, step: 600, eta: 00:32:40, gen loss: 5.1417717933654785, adv_loss: 0, dis loss: 0
2022-07-15 15:41:07,998 - utils - INFO - epoch: 3, step: 650, eta: 00:30:15, gen loss: 4.047831058502197, adv_loss: 0, dis loss: 0
2022-07-15 15:43:36,871 - utils - INFO - epoch: 3, step: 700, eta: 00:27:50, gen loss: 4.314870834350586, adv_loss: 0, dis loss: 0
2022-07-15 15:46:05,778 - utils - INFO - epoch: 3, step: 750, eta: 00:25:23, gen loss: 6.132360458374023, adv_loss: 0, dis loss: 0
2022-07-15 15:48:34,491 - utils - INFO - epoch: 3, step: 800, eta: 00:22:57, gen loss: 4.967648506164551, adv_loss: 0, dis loss: 0
2022-07-15 15:51:03,122 - utils - INFO - epoch: 3, step: 850, eta: 00:20:30, gen loss: 4.9044647216796875, adv_loss: 0, dis loss: 0
2022-07-15 15:53:31,796 - utils - INFO - epoch: 3, step: 900, eta: 00:18:03, gen loss: 4.430672645568848, adv_loss: 0, dis loss: 0
2022-07-15 15:56:00,691 - utils - INFO - epoch: 3, step: 950, eta: 00:15:36, gen loss: 5.132488250732422, adv_loss: 0, dis loss: 0
2022-07-15 15:58:29,506 - utils - INFO - epoch: 3, step: 1000, eta: 00:13:08, gen loss: 4.470692157745361, adv_loss: 0, dis loss: 0
2022-07-15 16:00:57,992 - utils - INFO - epoch: 3, step: 1050, eta: 00:10:41, gen loss: 5.554853439331055, adv_loss: 0, dis loss: 0
